mda_idx,total_conv,extreme_cnt,fraud_loss,avg_row_score,adv_cost_sum,extreme_ratio,Risk_Label
12,82929,2809,417260,96.95148862279781,16169408,0.033872348635579835,정상
14,22672,2310,403830,90.83009880028229,9561157,0.10188779110797459,정상
18,92,0,0,100.0,527416,0.0,정상
22,35232,1527,729790,96.09928474114442,8605200,0.04334128065395095,정상
26,70,0,0,100.0,17170,0.0,정상
30,391,1,160,99.769820971867,100590,0.0025575447570332483,정상
32,151,0,0,100.0,666880,0.0,정상
54,4299,126,21514,97.36217725052337,1101192,0.02930914166085136,정상
56,9484,2969,702330,71.82517924926192,3160760,0.3130535638970898,주의
58,155827,146184,27747040,15.569445603136812,35056660,0.9381172710762576,어뷰징 확정
73,2,0,0,100.0,470,0.0,정상
87,21173,1,150,99.99574930335805,3828387,4.7229962688329476e-05,정상
108,666,0,0,100.0,100700,0.0,정상
246,1002,113,14063,89.8502994011976,281894,0.11277445109780439,정상
270,26020,3462,89273,88.02536510376633,2219120,0.13305149884704073,정상
281,129,0,0,100.0,96362,0.0,정상
290,32,2,127,94.375,7792,0.0625,정상
291,46,2,19,96.08695652173913,1130,0.043478260869565216,정상
294,723,723,264080,10.0,374530,1.0,어뷰징 확정
303,8212,0,0,100.0,1495620,0.0,정상
324,8277,0,0,100.0,1506520,0.0,정상
337,291,30,2070,90.72164948453609,583970,0.10309278350515463,정상
340,9100,0,0,100.0,1669240,0.0,정상
341,8908,0,0,100.0,1642850,0.0,정상
342,164861,11938,2857040,93.48287345096779,46062200,0.07241251721146906,정상
343,90504,5670,1360800,94.36157517899761,27596255,0.06264916467780429,정상
344,35342,1444,346560,96.32278874992926,11150693,0.04085790277856375,정상
356,311,2,340,99.42122186495178,326060,0.006430868167202572,정상
371,13104,7578,79816,47.9532967032967,518726,0.5782967032967034,위험
374,1,0,0,100.0,2,0.0,정상
375,185,0,0,100.0,52832,0.0,정상
384,4358,2956,657730,38.95364846259752,1934820,0.6782927948600276,위험
385,910,63,48690,93.76923076923077,434960,0.06923076923076923,정상
389,563,11,77,98.24156305506217,3428,0.019538188277087035,정상
396,90729,5194,1246560,94.84773335978574,26007120,0.05724740711349183,정상
397,12740,194,46560,98.62951334379906,3880140,0.0152276295133438,정상
398,1122,163,27850,86.92513368983957,455120,0.14527629233511585,정상
401,29,1,180,96.89655172413794,14801,0.034482758620689655,정상
409,5,0,0,100.0,404,0.0,정상
437,1,0,0,100.0,1350,0.0,정상
442,67,0,0,100.0,9542,0.0,정상
458,655,151,26040,79.25190839694656,187300,0.23053435114503817,주의
480,15,0,0,100.0,10805,0.0,정상
481,1,0,0,100.0,500,0.0,정상
482,1647,108,9655,94.09836065573771,417435,0.06557377049180328,정상
492,422,413,4511,11.919431279620854,8613,0.9786729857819905,어뷰징 확정
496,26291,363,61175,98.75736944201438,6412379,0.013807006199840249,정상
539,9179,2134,368220,79.07615208628391,4396960,0.2324871990412899,주의
540,4114,341,66320,92.54010695187166,1449180,0.08288770053475936,정상
562,12297,12297,959680,10.0,1355372,1.0,어뷰징 확정
563,310629,310629,13929951,10.0,18146030,1.0,어뷰징 확정
564,1276,0,0,100.0,288559,0.0,정상
568,30,0,0,100.0,965,0.0,정상
578,4339,0,0,100.0,717550,0.0,정상
579,5589,0,0,100.0,903090,0.0,정상
582,3130,0,0,100.0,575510,0.0,정상
583,317,1,200,99.71608832807571,392630,0.0031545741324921135,정상
621,4820,0,0,100.0,801810,0.0,정상
630,16,0,0,100.0,6140,0.0,정상
634,3321,3131,35949,15.149051490514905,143038,0.9427883167720567,어뷰징 확정
637,4735,0,0,100.0,775920,0.0,정상
638,1945,0,0,100.0,319650,0.0,정상
639,1779,0,0,100.0,302270,0.0,정상
643,265,4,480,98.64150943396227,362256,0.01509433962264151,정상
645,627,14,291,97.99043062200957,185448,0.022328548644338118,정상
646,1746,0,0,100.0,297420,0.0,정상
651,39,0,0,100.0,234120,0.0,정상
652,7,0,0,100.0,14040,0.0,정상
654,1106,0,0,100.0,2312000,0.0,정상
655,120,7,960,94.75,57390,0.058333333333333334,정상
667,15994,250,36600,98.5932224584219,3892539,0.015630861573089908,정상
671,1095,0,0,100.0,184090,0.0,정상
672,1292,0,0,100.0,208820,0.0,정상
674,3591,0,0,100.0,605700,0.0,정상
675,3806,0,0,100.0,613430,0.0,정상
676,3997,0,0,100.0,698640,0.0,정상
677,2542,0,0,100.0,440910,0.0,정상
678,7063,0,0,100.0,1241890,0.0,정상
682,2546,0,0,100.0,414370,0.0,정상
683,3488,0,0,100.0,573690,0.0,정상
684,3166,0,0,100.0,557980,0.0,정상
685,3646,0,0,100.0,641970,0.0,정상
686,11,0,0,100.0,5212,0.0,정상
687,1901,0,0,100.0,325310,0.0,정상
688,2579,0,0,100.0,422520,0.0,정상
700,3511,0,0,100.0,584070,0.0,정상
701,5873,0,0,100.0,971510,0.0,정상
702,4719,0,0,100.0,911320,0.0,정상
703,2422,0,0,100.0,462590,0.0,정상
711,43,0,0,100.0,36730,0.0,정상
714,23,0,0,100.0,175674,0.0,정상
715,47,0,0,100.0,6650,0.0,정상
716,172,0,0,100.0,28180,0.0,정상
718,522,0,0,100.0,85890,0.0,정상
725,2540,0,0,100.0,467200,0.0,정상
739,4453,0,0,100.0,835530,0.0,정상
740,2141,0,0,100.0,402370,0.0,정상
756,7903,0,0,100.0,1394610,0.0,정상
757,6672,0,0,100.0,1182480,0.0,정상
758,2496,0,0,100.0,441960,0.0,정상
760,2512,0,0,100.0,476720,0.0,정상
761,13419,13419,1884298,10.0,2666003,1.0,어뷰징 확정
766,3,0,0,100.0,1200,0.0,정상
772,117,15,1900,88.46153846153847,41680,0.1282051282051282,정상
785,18,1,120,95.0,13940,0.05555555555555555,정상
786,16,0,0,100.0,1207,0.0,정상
787,1,0,0,100.0,2,0.0,정상
790,742,3,360,99.63611859838275,987578,0.004043126684636119,정상
792,1,0,0,100.0,4000,0.0,정상
794,5089,0,0,100.0,926610,0.0,정상
795,5347,0,0,100.0,977540,0.0,정상
796,2433,0,0,100.0,461680,0.0,정상
797,2185,0,0,100.0,408580,0.0,정상
798,3961,0,0,100.0,681190,0.0,정상
799,4108,0,0,100.0,709750,0.0,정상
801,7879,0,0,100.0,1480500,0.0,정상
804,1812,0,0,100.0,321140,0.0,정상
805,4823,0,0,100.0,805170,0.0,정상
806,5462,0,0,100.0,888450,0.0,정상
807,3838,0,0,100.0,639110,0.0,정상
808,4433,0,0,100.0,751570,0.0,정상
809,6,1,120,85.0,845,0.16666666666666666,정상
812,747,0,0,100.0,124110,0.0,정상
817,752,17,345,97.96542553191489,33549,0.022606382978723406,정상
818,91,0,0,100.0,2924,0.0,정상
824,6617,0,0,100.0,1296510,0.0,정상
825,890,0,0,100.0,153410,0.0,정상
826,877,0,0,100.0,146950,0.0,정상
827,985,0,0,100.0,165340,0.0,정상
828,626,0,0,100.0,103540,0.0,정상
844,367,0,0,100.0,60240,0.0,정상
845,6695,0,0,100.0,1269330,0.0,정상
848,921,0,0,100.0,150630,0.0,정상
849,644,0,0,100.0,103130,0.0,정상
850,5920,0,0,100.0,1182200,0.0,정상
851,5862,0,0,100.0,1166250,0.0,정상
854,224,7,282,97.1875,48812,0.03125,정상
973,1,0,0,100.0,260,0.0,정상
978,22,0,0,100.0,3905,0.0,정상
980,5993,953,2257020,85.68830302019022,279975106,0.15901885533121976,정상
990,1573,257,1799,85.29561347743166,165660,0.16338207247298156,정상
994,14,0,0,100.0,3120,0.0,정상
995,1,0,0,100.0,200,0.0,정상
997,1153,162,1134,87.35472679965308,137370,0.14050303555941024,정상
1010,1313,202,1414,86.15384615384616,133110,0.15384615384615385,정상
1012,740,156,1092,81.02702702702703,63840,0.21081081081081082,주의
1013,1194,230,1610,82.66331658291458,124530,0.19262981574539365,정상
1014,44,0,0,100.0,9380,0.0,정상
1015,35,0,0,100.0,7850,0.0,정상
1016,112,0,0,100.0,24380,0.0,정상
1019,45,3,21,94.0,6170,0.06666666666666667,정상
1020,10345,0,0,100.0,2028330,0.0,정상
1021,5291,0,0,100.0,981550,0.0,정상
1022,5569,0,0,100.0,1032000,0.0,정상
1024,2,0,0,100.0,460,0.0,정상
1025,1928,0,0,100.0,374950,0.0,정상
1026,1078,0,0,100.0,207030,0.0,정상
1027,1001,0,0,100.0,192990,0.0,정상
1028,5,0,0,100.0,1150,0.0,정상
1029,2385,0,0,100.0,407880,0.0,정상
1030,222,0,0,100.0,41920,0.0,정상
1031,97,0,0,100.0,22340,0.0,정상
1032,1925,0,0,100.0,345530,0.0,정상
1033,7,0,0,100.0,1610,0.0,정상
1034,4,0,0,100.0,920,0.0,정상
1035,5,0,0,100.0,1180,0.0,정상
1036,5,0,0,100.0,1150,0.0,정상
1037,5,1,7,82.0,59,0.2,주의
1045,3447,0,0,100.0,547960,0.0,정상
1046,5622,0,0,100.0,1082530,0.0,정상
1047,5947,0,0,100.0,1162690,0.0,정상
1048,1703,0,0,100.0,313830,0.0,정상
1050,1,0,0,100.0,16,0.0,정상
1061,5,0,0,100.0,19,0.0,정상
